#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46239  36.343 -122.096 2019 12 02 23 30  MM    MM    MM  3.0  12  7.7 293     MM    MM    MM  13.8    MM   MM     MM
46240  36.626 -121.907 2019 12 02 23 30  MM    MM    MM  1.1  13 10.7 348     MM    MM    MM  12.9    MM   MM     MM
46243  46.216 -124.128 2019 12 02 23 30  MM    MM    MM  1.6  11  8.5 268     MM    MM    MM   8.3    MM   MM     MM
46244  40.896 -124.357 2019 12 02 23 30  MM    MM    MM  1.8  11  8.8 297     MM    MM    MM  10.6    MM   MM     MM
46246  50.033 -145.200 2019 12 02 22 30  MM    MM    MM  5.3  13  9.7 289     MM    MM    MM   9.6    MM   MM     MM
46251  33.761 -119.559 2019 12 02 23 30  MM    MM    MM  2.0  13  9.7 264     MM    MM    MM  15.2    MM   MM     MM
46253  33.576 -118.181 2019 12 02 23 30  MM    MM    MM  1.2  12  9.3 256     MM    MM    MM  17.2    MM   MM     MM
46254  32.868 -117.267 2019 12 02 23 28  MM    MM    MM  1.0   8  8.3 261     MM    MM  16.7  16.8    MM   MM     MM
46256  33.700 -118.201 2019 12 02 23 30  MM    MM    MM  1.1  15  9.4 244     MM    MM    MM  16.5    MM   MM     MM
46258  32.752 -117.501 2019 12 02 23 30  MM    MM    MM  1.8  15 11.0 284     MM    MM    MM  17.1    MM   MM     MM
46259  34.767 -121.497 2019 12 02 23 30  MM    MM    MM  2.6  13  7.9 290     MM    MM    MM  14.4    MM   MM     MM
46264  57.479 -151.695 2019 12 02 23 30  MM    MM    MM  3.4   8  6.8 219     MM    MM    MM   7.2    MM   MM     MM
51000  23.535 -153.781 2019 12 02 22 50  80   6.0   8.0  3.4  12  8.3 353 1016.6  -1.7  23.8  25.3    MM   MM     MM
51001  24.453 -162.000 2019 12 02 23 30  60   9.0  11.0   MM  MM   MM  MM 1017.3    MM  24.8  25.2  21.4   MM     MM
51002  17.043 -157.742 2019 12 02 23 30  90   9.0  11.0   MM  MM   MM  MM 1011.8    MM  26.3  27.1  21.0   MM     MM
51003  19.175 -160.625 2019 12 02 23 20 100   9.0  11.0   MM  MM   MM  MM 1013.4    MM    MM  27.4    MM   MM     MM
51004  17.604 -152.364 2019 12 02 23 30  80   7.0   8.0   MM  MM   MM  MM 1013.0    MM  25.3  26.5  19.2   MM     MM
51101  24.361 -162.075 2019 12 02 23 30  70   8.0  10.0   MM  MM   MM  MM 1017.7    MM  24.9    MM  21.5   MM     MM
51201  21.671 -158.117 2019 12 02 23 06  MM    MM    MM  2.9  15  8.6 356     MM    MM    MM  24.6    MM   MM     MM
51202  21.415 -157.678 2019 12 02 23 30  MM    MM    MM  3.2  15  9.1  12     MM    MM    MM  26.6    MM   MM     MM
51205  21.018 -156.425 2019 12 02 23 30  MM    MM    MM  3.0  14  8.4   3     MM    MM    MM  26.2    MM   MM     MM
51206  19.780 -154.970 2019 12 02 23 16  MM    MM    MM  3.1  13  9.1   8     MM    MM    MM  26.5    MM   MM     MM
51207  21.477 -157.752 2019 12 02 23 30  MM    MM    MM  3.1  13  8.8   2     MM    MM    MM  26.3    MM   MM     MM
51209 -14.264 -170.493 2019 12 02 23 19  MM    MM    MM  1.6  11  7.0  21     MM    MM    MM  28.7    MM   MM     MM
51210  21.477 -157.756 2019 12 02 23 30  MM    MM    MM  2.8  13  8.6   2     MM    MM    MM  26.2    MM   MM     MM
51211  21.297 -157.959 2019 12 02 23 00  MM    MM    MM  1.0   7  5.1 158     MM    MM    MM  27.0    MM   MM     MM
51212  21.323 -158.149 2019 12 02 23 30  MM    MM    MM  1.0   9  6.8 165     MM    MM    MM  27.1    MM   MM     MM
51213  20.750 -157.003 2019 12 02 23 30  MM    MM    MM  1.1  13  8.1 297     MM    MM    MM  27.2    MM   MM     MM
51WH0  22.667 -157.949 2019 12 02 22 30  80   7.0    MM   MM  MM   MM  MM 1015.9    MM    MM  26.2    MM   MM     MM
52200  13.354  144.788 2019 12 02 23 30  MM    MM    MM  2.4  10  6.3  96     MM    MM    MM  28.7    MM   MM     MM
52201   7.083  171.392 2019 12 02 23 15  MM    MM    MM  1.6  10  6.7  32     MM    MM    MM  29.5    MM   MM     MM
52211  15.268  145.662 2019 12 02 23 30  MM    MM    MM  2.1  11  7.7  13     MM    MM    MM  28.7    MM   MM     MM
62001  45.230   -5.000 2019 12 02 23 00  70  10.3    MM  2.3   6   MM  MM 1028.2    MM    MM    MM    MM   MM     MM
62029  48.720  -12.430 2019 12 02 23 00 150   7.2    MM  1.6  MM    6  MM 1030.3  -1.3  10.6  12.6   4.9   MM     MM
62050  50.000   -4.400 2019 12 02 23 00  30   0.5    MM   MM  MM   MM  MM 1032.3    MM    MM    MM    MM   MM     MM
62103  49.900   -2.900 2019 12 02 23 00  20   3.1    MM  0.6  MM    9  MM 1032.5  -0.3   8.4  12.3   1.2   27     MM
62105  55.420  -12.570 2019 12 02 23 00 210  11.3    MM  3.6  MM    7  MM 1022.4  -1.8  11.1  11.0   7.0   MM     MM
62107  50.102   -6.100 2019 12 02 23 00  60   3.1    MM  0.6  MM    9  MM 1032.3  -0.7   9.2  11.6   2.3   MM     MM
62114  58.300    0.000 2019 12 02 23 00 240  10.8    MM   MM  MM   MM  MM 1018.9  -1.3   8.4    MM   7.2   MM     MM
62121  53.500    2.700 2019 12 02 22 00 280   5.1    MM   MM  MM   MM  MM 1028.3  +0.0   8.1    MM   5.4   MM     MM
62124  53.600   -3.600 2019 12 02 23 00 300    MM    MM   MM  MM   MM  MM 1029.8  -0.6   8.4    MM   1.9   MM     MM
62127  54.000    0.700 2019 12 02 23 00 260    MM    MM  1.8  MM    6  MM 1028.4  -0.3   7.6    MM   5.4   11     MM
62130  58.700    1.300 2019 12 02 23 00 240    MM    MM  2.4  MM   MM  MM 1018.1  -1.9   8.0    MM   6.8    2     MM
62135  54.200    1.600 2019 12 02 23 00 260    MM    MM   MM  MM   MM  MM 1027.5  -0.4   8.5    MM   8.5   MM     MM
62144  53.400    1.700 2019 12 02 23 00 270   4.6    MM  1.4  MM    5  MM 1028.9  -0.1   7.6    MM   5.5   11     MM
62145  53.102    2.800 2019 12 02 23 00 290   4.6    MM  1.5  MM    5  MM 1029.1  +0.0   7.8    MM   3.5   27     MM
62146  57.200    2.100 2019 12 02 23 00 250   6.7    MM  2.5  MM    7  MM 1022.1  -1.1   8.1    MM   8.0   11     MM
62148  53.600    1.500 2019 12 02 23 00 250   2.6    MM   MM  MM   MM  MM 1028.8  -0.3   7.8    MM   5.4   MM     MM
62149  53.700    1.100 2019 12 02 23 00 260   6.2    MM  1.6  MM    5  MM 1028.9  -0.5   8.1    MM   5.8   11     MM
62163  47.550   -8.470 2019 12 02 23 00  90   6.2    MM  1.4  MM    5  MM 1031.5    MM  10.5    MM   5.1   MM     MM
62165  54.000    1.100 2019 12 02 23 00 290   3.6    MM  1.8  MM    6  MM 1028.2  -0.4   8.0    MM   5.6   27     MM
62304  51.102    1.800 2019 12 02 23 00  MM   4.1    MM  0.6  MM    6  MM 1031.9  +0.5   6.9  11.0   4.4   11     MM
62305  50.400    0.000 2019 12 02 23 00 360   3.1    MM  0.3  MM    6  MM 1031.9  +0.0   7.3  12.2   3.7   11     MM
63110  59.500    1.500 2019 12 02 23 00 220   9.8    MM  2.8  MM    7  MM 1015.8  -2.3   8.2    MM   7.9    2     MM
63112  61.100    1.000 2019 12 02 23 00 230  10.3    MM  2.8  MM    6  MM 1011.8  -2.8   9.7    MM   8.6    5     MM
63115  61.600    1.300 2019 12 02 23 00 210  11.3    MM  2.8  MM    7  MM 1010.9  -2.8  10.5    MM   7.4    2     MM
63117  61.400    1.100 2019 12 02 23 00 210  10.8    MM   MM  MM   MM  MM 1012.5  -2.6    MM    MM    MM    2     MM
64045  59.070  -11.420 2019 12 02 23 00 230  12.4    MM  4.7  MM    8  MM 1015.2  -0.7  10.5  10.4   7.5   MM     MM
64046  60.483   -4.167 2019 12 02 23 00 260  12.9    MM  3.3  MM    8  MM 1013.4    MM   9.3    MM   9.1   MM     MM
AAMC1  37.772 -122.300 2019 12 02 23 06 340   1.0   2.1   MM  MM   MM  MM 1017.4    MM  13.6  11.6    MM   MM     MM
ACXS1  32.559  -80.454 2019 12 02 22 45 270   1.0    MM   MM  MM   MM  MM 1012.0    MM  10.2    MM   1.1   MM     MM
ACYN4  39.357  -74.418 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM  999.7  +1.6   2.2   8.8    MM   MM     MM
ADKA2  51.861 -176.637 2019 12 02 23 06 320   1.0   2.1   MM  MM   MM  MM 1010.1    MM   0.7   5.7    MM   MM     MM
AGCM4  42.621  -82.527 2019 12 02 23 18  MM    MM    MM   MM  MM   MM  MM 1012.7    MM   1.2   5.3    MM   MM     MM
AGXC1  33.716 -118.246 2019 12 02 23 18 250   5.7   6.2   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
AJXA2  58.287 -134.398 2019 12 02 23 32 240   2.6   5.1   MM  MM   MM  MM  995.3    MM   2.5    MM  -1.0   MM     MM
ALIA2  56.898 -154.247 2019 12 02 23 18 320   7.7  11.8   MM  MM   MM  MM 1002.4    MM   0.9   7.0    MM   MM     MM
AMAA2  58.915 -151.952 2019 12 02 23 30 300   4.6   9.8   MM  MM   MM  MM  990.6    MM  -2.2    MM  -6.7   MM     MM
AMRL1  29.450  -91.338 2019 12 02 23 18 330   1.0   2.1   MM  MM   MM  MM 1020.9    MM  10.8  12.8    MM   MM     MM
ANMN6  42.018  -73.917 2019 12 02 22 30  MM   0.0    MM   MM  MM   MM  MM 1002.0    MM  -0.4    MM  -1.1   MM     MM
ANPT2  27.837  -97.039 2019 12 02 23 06  80   2.6   3.1   MM  MM   MM  MM 1021.7    MM  16.4  18.3    MM   MM     MM
ANTA2  61.238 -149.890 2019 12 02 23 06 160   1.5   2.1   MM  MM   MM  MM  988.2    MM  -4.1   1.7    MM   MM     MM
ANVC1  38.915 -123.711 2019 12 02 23 06 120   7.7  10.8   MM  MM   MM  MM 1014.8    MM  15.6  11.1    MM   MM     MM
APAM2  38.983  -76.479 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM 1002.2  +1.6   5.0    MM    MM   MM     MM
APCF1  29.724  -84.980 2019 12 02 23 18 330   1.5   4.1   MM  MM   MM  MM 1017.5    MM  10.5  17.3    MM   MM     MM
APNM4  45.060  -83.424 2019 12 02 23 30 320   2.6   3.1   MM  MM   MM  MM     MM    MM  -1.5    MM    MM   MM     MM
APRP7  13.444  144.657 2019 12 02 23 18  70   6.2   9.3   MM  MM   MM  MM 1010.1    MM  28.7  28.6    MM   MM     MM
APXF1  29.791  -84.883 2019 12 02 22 45 340   5.1    MM   MM  MM   MM  MM 1017.0    MM    MM    MM    MM   MM     MM
AROP4  18.480  -66.702 2019 12 02 23 12 150   0.5   1.5   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
ARPF1  28.433  -82.667 2019 12 02 21 54 310   6.7   9.3   MM  MM   MM  MM 1014.3    MM  15.0    MM    MM   MM   2.23
ASTO3  46.207 -123.768 2019 12 02 23 18 250   0.5   1.5   MM  MM   MM  MM 1019.1    MM  10.3   7.5    MM   MM     MM
ATGM1  44.392  -68.204 2019 12 02 23 00  70   8.8  12.4   MM  MM   MM  MM 1006.1  -1.0  -0.1   5.5    MM   MM     MM
ATKA2  52.232 -174.173 2019 12 02 23 06  MM    MM    MM   MM  MM   MM  MM 1009.3    MM   1.6   6.4    MM   MM     MM
AUGA2  59.378 -153.348 2019 12 02 23 30 300  12.4  15.4   MM  MM   MM  MM  992.5    MM  -3.5    MM  -4.1   MM     MM
AWRT2  28.227  -96.796 2019 12 02 23 06  10   2.6   2.6   MM  MM   MM  MM 1021.8    MM  18.2  16.8    MM   MM     MM
BABT2  27.297  -97.405 2019 12 02 23 06  90   2.6   3.1   MM  MM   MM  MM 1023.1    MM  16.2  19.8    MM   MM     MM
BARA9  17.591  -61.821 2019 12 02 23 06  MM    MM    MM   MM  MM   MM  MM 1014.4    MM  26.3  29.3    MM   MM     MM
BATN6  40.701  -74.014 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM  999.9  +1.5   1.1   8.3    MM   MM     MM
BAXC1  33.766 -118.240 2019 12 02 23 18 350   1.5   2.1   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
BDRN4  40.082  -74.870 2019 12 02 22 36 320   1.5   3.1   MM  MM   MM  MM 1000.8    MM   1.7   5.3    MM   MM     MM
BDSP1  39.980  -75.079 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM 1001.8  +2.1   2.4    MM    MM   MM     MM
BDVF1  25.478  -80.989 2019 12 02 22 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.3    MM   MM   0.20
BFTN7  34.717  -76.671 2019 12 02 23 00 290   5.1   8.8   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
BGCF1  26.404  -81.881 2019 12 02 22 54 330   6.7   9.3   MM  MM   MM  MM 1014.2    MM  18.7    MM    MM   MM     MM
BGNN4  40.639  -74.146 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM 1000.4  +1.6   1.7   7.2    MM   MM     MM
BGXN3  43.059  -70.830 2019 12 02 22 45  20   3.1    MM   MM  MM   MM  MM 1003.0    MM  -2.5    MM  -3.6   MM     MM
BHBM3  42.355  -71.050 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM 1000.4  -0.0    MM    MM    MM   MM     MM
BIGM4  46.827  -87.727 2019 12 02 22 40  MM   0.0   0.5   MM  MM   MM  MM 1013.9    MM  -3.8    MM    MM   MM     MM
BISM2  38.220  -76.039 2019 12 02 22 54 330   5.1   6.7   MM  MM   MM  MM 1002.7    MM   5.2   7.6    MM   MM     MM
BKTL1  30.190  -93.301 2019 12 02 23 06  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  21.3    MM   MM     MM
BKYF1  25.119  -80.834 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.8    MM   MM  -0.49
BLIA2  60.839 -146.884 2019 12 02 23 30  40   4.1   4.1   MM  MM   MM  MM  981.4    MM   2.8    MM    MM   MM     MM
BLIF1  30.393  -81.523 2019 12 02 23 12 320   4.6   5.7   MM  MM   MM  MM 1015.3    MM  12.1    MM   1.4  5.9     MM
BLTA2  58.455 -135.889 2019 12 02 23 26 200   3.6  10.8   MM  MM   MM  MM     MM    MM   3.9    MM    MM   MM     MM
BLTM2  39.267  -76.579 2019 12 02 22 54 350   4.1   6.7   MM  MM   MM  MM 1002.6    MM   4.9   9.9    MM   MM     MM
BLTM3  41.704  -71.174 2019 12 02 23 00  20   8.8  11.8   MM  MM   MM  MM  998.2  -0.0   4.4    MM    MM   MM     MM
BNKF1  25.087  -80.519 2019 12 02 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  25.4    MM   MM     MM
BOBF1  25.027  -80.681 2019 12 02 22 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  26.3    MM   MM  -0.17
BRHC3  41.174  -73.181 2019 12 02 22 54  20   5.1   8.2   MM  MM   MM  MM  998.9    MM   1.3   7.5    MM   MM     MM
BRND1  38.987  -75.113 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM 1000.7  +1.3    MM    MM    MM   MM     MM
BSBM4  44.055  -86.514 2019 12 02 22 40 360   3.6   4.1   MM  MM   MM  MM 1016.6    MM   0.3    MM    MM   MM     MM
BSLM2  38.781  -76.708 2019 12 02 21 30 320   2.6    MM   MM  MM   MM  MM 1002.0    MM   5.3    MM   2.3   MM     MM
BUFN6  42.878  -78.890 2019 12 02 23 18 340   7.7   8.8   MM  MM   MM  MM 1010.5    MM  -1.3   5.7  -6.9   MM     MM
BURL1  28.905  -89.428 2019 12 02 23 00  MM   9.3  11.3   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
BUZM3  41.397  -71.033 2019 12 02 23 00  20  15.4  17.5   MM  MM   MM  MM  995.8  -0.6   5.6    MM    MM   MM     MM
BWSF1  25.178  -80.438 2019 12 02 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  25.4    MM   MM  -0.13
BYGL1  29.789  -90.420 2019 12 02 23 06  MM   0.0   0.5   MM  MM   MM  MM 1020.7    MM  11.8  16.9    MM   MM     MM
BZBM3  41.524  -70.671 2019 12 02 22 54  MM    MM    MM   MM  MM   MM  MM  996.1    MM   5.7   6.8    MM   MM     MM
BZST2  26.067  -97.155 2019 12 02 23 06  20   4.6   5.7   MM  MM   MM  MM 1021.6    MM  17.5  19.5    MM   MM     MM
CAMM2  38.574  -76.069 2019 12 02 22 54 300   8.2  10.8   MM  MM   MM  MM 1001.9    MM   5.9   7.5    MM   MM     MM
CANF1  25.422  -80.942 2019 12 02 22 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  22.7    MM   MM   0.57
CAPL1  29.768  -93.343 2019 12 02 23 18 360   3.6   4.6   MM  MM   MM  MM 1019.4    MM  13.1  15.9    MM   MM     MM
CARL1  29.933  -90.135 2019 12 02 23 18  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  11.0    MM   MM     MM
CASM1  43.656  -70.246 2019 12 02 22 54  MM    MM    MM   MM  MM   MM  MM     MM    MM  -1.1   5.1    MM   MM     MM
CBRW3  45.198  -87.360 2019 12 02 22 40 220   2.1   3.1   MM  MM   MM  MM     MM    MM  -0.9    MM    MM   MM     MM
CDEA2  56.001 -134.136 2019 12 02 23 22 280  17.5  21.6   MM  MM   MM  MM 1001.9    MM   7.2    MM   1.2   MM     MM
CDRF1  29.136  -83.029 2019 12 02 23 00 320   3.1   4.6   MM  MM   MM  MM 1015.0  +1.3  12.1    MM   3.8   MM     MM
CDXA2  56.001 -134.136 2019 12 02 23 32 250   6.7  15.4   MM  MM   MM  MM 1001.8    MM   5.6    MM   1.6   MM     MM
CECC1  41.746 -124.184 2019 12 02 23 06 330   1.0   1.5   MM  MM   MM  MM 1017.0    MM  13.9   9.3    MM   MM     MM
CFWM1  44.657  -67.205 2019 12 02 23 00  70   4.1   6.7   MM  MM   MM  MM 1005.2  -1.1   0.2   7.6    MM   MM     MM
CHAO3  43.351 -124.337 2019 12 02 22 36 330   0.5   1.5   MM  MM   MM  MM 1017.9    MM    MM   9.4    MM   MM     MM
CHAV3  18.335  -64.920 2019 12 02 23 06  MM    MM    MM   MM  MM   MM  MM 1015.0    MM  26.9    MM    MM   MM     MM
CHBV2  37.032  -76.083 2019 12 02 22 54 350  12.4  13.9   MM  MM   MM  MM 1002.3    MM   6.9    MM    MM   MM     MM
CHCM2  39.527  -75.810 2019 12 02 23 00 350   3.6   7.2   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
CHDS1  33.661  -82.199 2019 12 02 22 20 300   8.2  11.8   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
CHII2  41.916  -87.572 2019 12 02 23 20 290   6.2   6.7   MM  MM   MM  MM     MM    MM   1.1    MM  -1.5   MM     MM
CHSV3  17.748  -64.699 2019 12 02 23 06 100   2.1   3.6   MM  MM   MM  MM 1014.6    MM  28.3  29.2    MM   MM     MM
CHTS1  32.781  -79.924 2019 12 02 23 00 270   4.1   7.2   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
CHYV2  36.926  -76.007 2019 12 02 23 00 340  12.9  14.4   MM  MM   MM  MM 1003.7  +2.6   6.9    MM    MM   MM     MM
CHYW1  48.863 -122.759 2019 12 02 23 18  MM    MM    MM   MM  MM   MM  MM 1021.0    MM    MM    MM    MM   MM     MM
CLBF1  27.736  -82.686 2019 12 02 22 54 310   3.6   7.7   MM  MM   MM  MM 1013.9    MM  14.8    MM    MM   MM     MM
CLBP4  18.301  -65.302 2019 12 02 23 06  MM    MM    MM   MM  MM   MM  MM 1014.9    MM  26.5  29.5    MM   MM     MM
CLKN7  34.622  -76.525 2019 12 02 23 00 290   9.8  12.4   MM  MM   MM  MM 1006.8  +3.0  10.1    MM   3.3   MM     MM
CLSM4  42.471  -82.877 2019 12 02 23 00 310   3.1   6.2   MM  MM   MM  MM 1013.9  +2.0   0.9    MM    MM   MM     MM
CMAN4  38.968  -74.960 2019 12 02 23 00 320   4.6   8.2   MM  MM   MM  MM 1000.0    MM   4.4   7.6    MM   MM     MM
CMLN3  43.070  -70.700 2019 12 02 21 04 350   9.8    MM   MM  MM   MM  MM     MM    MM    MM   6.6    MM   MM     MM
CMPO1  41.547  -83.015 2019 12 02 22 30 340   9.3  11.8   MM  MM   MM  MM     MM    MM   1.7    MM    MM   MM     MM
CMTI2  41.730  -87.538 2019 12 02 23 18 260   3.1   5.7   MM  MM   MM  MM 1016.8    MM   0.9    MM  -2.6   MM     MM
CNBF1  25.702  -81.186 2019 12 02 22 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.7    MM   MM   0.05
CNDO1  41.542  -81.637 2019 12 02 23 06 340   5.7   7.7   MM  MM   MM  MM 1011.9    MM   1.8   6.9  -1.9   MM     MM
CNII2  41.856  -87.609 2019 12 02 23 30 270   4.6   6.7   MM  MM   MM  MM     MM    MM   1.0    MM  -3.2   MM     MM
CPMW1  48.860 -122.756 2019 12 02 23 06  40   1.5   2.1   MM  MM   MM  MM     MM    MM   4.7    MM    MM   MM     MM
CPNW1  48.863 -122.758 2019 12 02 22 12  40   2.1   2.6   MM  MM   MM  MM     MM    MM   4.6    MM    MM   MM     MM
CPTR1  41.717  -71.345 2019 12 02 23 00 350   8.8  11.3   MM  MM   MM  MM  998.0    MM   1.6   6.3    MM   MM     MM
CPVM2  38.995  -76.388 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM     MM    MM   5.5    MM   5.5  5.9     MM
CPXC1  35.170 -120.741 2019 12 02 23 30 340   2.1   2.1   MM  MM   MM  MM 1018.1    MM  15.3    MM  12.5   MM     MM
CRTA1  30.308  -88.140 2019 12 02 23 00 320   4.6    MM   MM  MM   MM  MM 1019.3  +0.7  10.3    MM    MM   MM     MM
CRVA2  60.558 -145.752 2019 12 02 23 18  30   3.1   4.1   MM  MM   MM  MM  981.4    MM   2.1   7.6    MM   MM     MM
CRYV2  36.888  -76.338 2019 12 02 23 00 280   3.6   5.1   MM  MM   MM  MM 1003.7  +2.6   7.7    MM    MM   MM     MM
CSPA2  58.199 -136.640 2019 12 02 23 10 240  13.4  15.4   MM  MM   MM  MM  993.2    MM   4.7    MM   2.3   MM     MM
CWAF1  25.297  -81.013 2019 12 02 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  25.2    MM   MM  -0.18
CWBF1  27.978  -82.832 2019 12 02 23 06 300   9.8  12.9   MM  MM   MM  MM 1015.1    MM  14.5  20.8    MM   MM     MM
CWCI   47.334  -85.833 2019 12 02 23 00  MM    MM    MM   MM  MM   MM  MM 1015.8    MM  -0.3    MM  -6.0   MM     MM
DBLN6  42.494  -79.354 2019 12 02 23 00  10   6.7   8.2   MM  MM   MM  MM 1010.4  +3.4   0.0    MM    MM   MM     MM
DELD1  39.582  -75.589 2019 12 02 22 54 350   7.7   9.3   MM  MM   MM  MM 1001.6    MM   4.3   8.3    MM   MM     MM
DESW1  47.675 -124.485 2019 12 02 23 00 150   5.1   5.7   MM  MM   MM  MM 1019.6  +0.0   9.0    MM    MM   MM     MM
DISW3  47.079  -90.728 2019 12 02 23 00 210   3.1   4.1   MM  MM   MM  MM 1015.2  -1.4  -0.9    MM  -4.3   MM     MM
DKKF1  25.180  -80.490 2019 12 02 22 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.9    MM   MM   0.12
DMSF1  30.387  -81.559 2019 12 02 23 18  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  18.2    MM   MM     MM
DOMV2  36.962  -76.424 2019 12 02 22 54 300   6.2   6.7   MM  MM   MM  MM 1003.9    MM   8.3    MM    MM   MM     MM
DPIA1  30.250  -88.075 2019 12 02 23 00 340   6.7   7.7   MM  MM   MM  MM 1019.3  +0.9  10.6    MM    MM   MM     MM
DPXC1  38.056 -122.264 2019 12 02 23 18  80  10.8  12.9   MM  MM   MM  MM 1017.3    MM  12.3    MM    MM   MM     MM
DTLM4  45.993  -83.898 2019 12 02 23 18 330   1.5   2.6   MM  MM   MM  MM 1014.7    MM  -1.9   3.3  -8.7   MM     MM
DUKN7  36.184  -75.746 2019 12 02 23 00 310   4.1   5.7   MM  MM   MM  MM 1003.4  +2.1   7.7    MM    MM   MM     MM
DULM5  46.776  -92.092 2019 12 02 23 06 220   3.1   4.1   MM  MM   MM  MM 1013.9    MM  -3.6    MM  -4.3   MM     MM
EINL1  29.373  -91.384 2019 12 02 23 06 360   7.2   7.7   MM  MM   MM  MM 1020.6    MM  12.7  12.6   3.7   MM     MM
ELFA2  58.193 -136.347 2019 12 02 23 06  MM    MM    MM   MM  MM   MM  MM  995.5    MM   4.6   7.8    MM   MM     MM
ELXC1  36.815 -121.738 2019 12 02 22 45  20   1.0    MM   MM  MM   MM  MM 1016.0    MM  13.3    MM  13.3   MM     MM
EMAT2  28.710  -95.914 2019 12 02 23 18 340   2.1   2.6   MM  MM   MM  MM 1021.6    MM  15.0  16.7    MM   MM     MM
EPTT2  29.481  -94.917 2019 12 02 23 06 360   2.6   5.1   MM  MM   MM  MM 1021.2    MM  15.9  16.8    MM   MM     MM
EREP1  42.172  -80.098 2019 12 02 23 18  20   7.2   9.3   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
EROA2  58.971 -135.221 2019 12 02 23 24 180  11.8  16.0   MM  MM   MM  MM  993.7    MM   4.1    MM   1.5   MM     MM
ERXA2  58.971 -135.221 2019 12 02 23 32 170  11.3  17.5   MM  MM   MM  MM  989.2    MM   4.3    MM   2.2   MM     MM
ESPP4  18.094  -65.471 2019 12 02 23 18  20   1.0   2.1   MM  MM   MM  MM 1015.4    MM  26.0  29.1    MM   MM     MM
FAIO1  41.764  -81.281 2019 12 02 23 18 340   6.7   7.7   MM  MM   MM  MM 1011.7    MM   2.2   4.6   0.2   MM     MM
FBIS1  32.685  -79.888 2019 12 02 23 00 280   2.6   4.1   MM  MM   MM  MM 1011.8  +2.4  10.2    MM   1.3   MM     MM
FCGT2  28.943  -95.302 2019 12 02 23 18 360   1.5   2.6   MM  MM   MM  MM     MM    MM  16.1  17.4    MM   MM     MM
FFIA2  57.272 -133.630 2019 12 02 23 00 230  14.9  16.0   MM  MM   MM  MM  997.6  +1.9   6.5    MM    MM   MM     MM
FHPF1  28.153  -82.801 2019 12 02 22 54 310   6.7   7.7   MM  MM   MM  MM 1015.5    MM  14.4    MM    MM   MM   1.99
FILA2  59.332 -151.995 2019 12 02 23 30 290  12.4  18.5   MM  MM   MM  MM  989.3    MM  -0.6    MM  -5.4   MM     MM
FMOA1  30.228  -88.024 2019 12 02 23 18 340   8.8  10.3   MM  MM   MM  MM 1019.1    MM  10.8    MM    MM   MM     MM
FMRF1  26.647  -81.871 2019 12 02 23 18 330   5.7   7.7   MM  MM   MM  MM 1013.9    MM  17.5  23.5    MM   MM     MM
FOXR1  41.807  -71.401 2019 12 02 22 54  40   5.7  12.9   MM  MM   MM  MM  999.4    MM   0.1   5.0    MM   MM     MM
FPKG1  32.035  -80.903 2019 12 02 22 54 300   7.2   8.2   MM  MM   MM  MM 1012.9    MM  11.8  15.0    MM   MM     MM
FPST2  28.936  -95.294 2019 12 02 23 18 330   2.6   2.6   MM  MM   MM  MM 1021.8    MM  16.1  18.0    MM   MM     MM
