# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
00922|DU|Slocum Glider||OTN201 - 4800922||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
00923|DU|Slocum Glider||OTN200 - 4800923||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01500|R|Spray Glider||SP031 - 3801500||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01502|UA|Slocum Glider||Penobscot - 4801502||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01503|WH|Slocum Glider||Saul - 4801503||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01504|UM|Slocum Glider||Blue - 4801504||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01505|RU|Slocum Glider||RU28 - 4801505||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01506|RU|Slocum Glider||RU22 - 4801506||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01507|RU|Slocum Glider||RU23 - 4801507||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01508|UD|Slocum Glider||OTIS - 4801508||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01510|CS|Slocum Glider||Salacia - 4801510||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01511|S|Slocum Glider||Modena - 4801511||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01517|WH|Slocum Glider||WHOI_406 - 4801517||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01518|RU|Slocum Glider||RU30 - 4801518||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01519|UA|Slocum Glider||Unit - 4801519||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|E| |
01521|R|Spray Glider||SP011 - 4801521||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01522|R|Spray Glider||SP018 - 4801522||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01523|R|Spray Glider||SP025 - 4801523||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01524|R|Spray Glider||SP028 - 4801524||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01526|R|Spray Glider||SP048 - 4801526||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01531|R|Spray Glider||SP407 - 4801531||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01532|R|Spray Glider||SP020 - 4801532||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01534|R|Spray Glider||SP030 - 4801534||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01535|R|Spray Glider||SP052 - 4801535||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01536|R|Spray Glider||SP063 - 4801536||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01537|RU|Slocum Glider||ru07 - 4801537||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|| |
01538|R|Spray Glider||SP043 - 4801538||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01909|R|Spray Glider||SCRIPPS Glider - 4801909||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
01910|R|Spray Glider||SCRIPPS Glider - 4801910||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
0y2w3|CG|Weather Station||Sturgeon Bay CG Station, WI||44.794 N 87.313 W (44&#176;47'39" N 87&#176;18'48" W)|C| |
13001|PR|Atlas Buoy|PM-595|NE Extension||12.000 N 23.000 W (12&#176;0'0" N 23&#176;0'0" W)|| |
13002|PR|Atlas Buoy||NE Extension||21.000 N 23.000 W (21&#176;0'0" N 23&#176;0'0" W)|| |
13008|PR|Atlas Buoy|PM-531|Reggae||15.000 N 38.000 W (15&#176;0'0" N 38&#176;0'0" W)|| |
13009|PR|Atlas Buoy|PM-533|Lambada||8.000 N 38.000 W (8&#176;0'0" N 38&#176;0'0" W)|| |
13010|PR|Atlas Buoy|PM-590|Soul||0.000 N 0.000 E (0&#176;0'0" N 0&#176;0'0" W)|| |
14040|RM|Atlas Buoy||||8.000 S 67.000 E (8&#176;0'0" S 67&#176;0'0" E)|| |
14041|RM|Atlas Buoy||||8.000 S 55.000 E (8&#176;0'0" S 55&#176;0'0" E)|| |
14043|RM|Atlas Buoy||||12.000 S 67.000 E (12&#176;0'0" S 67&#176;0'0" E)|| |
